,Filing Name,Filing Date,Filing Type,Industry,Province,Link
160,"9113 Bathurst Street and 9125 Bathurst Street, Richmond Hill, Ontario",2020-09-18,Receivership,Real Estate,Ontario,https://insolvencyinsider.ca/filing/9113-bathurst-street-and-9125-bathurst-street-richmond-hill-ontario/
161,Lift & Co. Corp. and Lift & Co. Ltd. (TSX:LIFT),2020-09-17,Bankruptcy,Cannabis,Ontario,https://insolvencyinsider.ca/filing/lift-co-corp-and-lift-co-ltd-tsxlift/
162,PharmHouse Inc.,2020-09-15,CCAA,Cannabis,Ontario,https://insolvencyinsider.ca/filing/pharmhouse-inc/
163,Essentia Group Inc. (“Essentia”) and 6860966 Canada Inc. (“686”),2020-09-14,NOI,Manufacturing,Quebec,https://insolvencyinsider.ca/filing/essentia-group-inc-essentia-and-6860966-canada-inc-686/
164,Mountain Equipment Co-operative (MEC),2020-09-14,CCAA,Retail,British Columbia,https://insolvencyinsider.ca/filing/mountain-equipment-co-operative-mec/
165,"110-112 Avenue Road, 114 Avenue Road, and 116 Avenue Road",2020-09-11,Receivership,Financial Services,Ontario,https://insolvencyinsider.ca/filing/110-112-avenue-road-114-avenue-road-and-116-avenue-road/
166,Brooks Brothers Group Inc.,2020-09-11,CCAA,Retail,Alberta,https://insolvencyinsider.ca/filing/brooks-brothers-group-inc/
167,Groupe Dynamite,2020-09-08,CCAA,Retail,Quebec,https://insolvencyinsider.ca/filing/groupe-dynamite/
168,Geox Canada Inc.,2020-09-08,NOI,Retail,Ontario,https://insolvencyinsider.ca/filing/geox-canada-inc/
169,Zargon Oil & Gas Ltd. (TSX:ZAR),2020-09-08,NOI,Oil and Gas,Alberta,https://insolvencyinsider.ca/filing/zargon-oil-gas-ltd-tsxzar/
170,Alasko Foods Inc. and Alasko Foods LLC,2020-09-04,Receivership,Distribution,Quebec,https://insolvencyinsider.ca/filing/alasko-foods-inc-and-alasko-foods-llc/
171,Urthecast Corp. (TSX:UR),2020-09-04,CCAA,Technology,British Columbia,https://insolvencyinsider.ca/filing/urthecast-corp-tsxur/
172,Ernest Enterprises,2020-09-04,CCAA,Retail,Quebec,https://insolvencyinsider.ca/filing/ernest-enterprises/
173,Ronsons Shoe Stores Inc.,2020-09-04,Receivership,Manufacturing,British Columbia,https://insolvencyinsider.ca/filing/ronsons-shoe-stores-inc/
174,RJ Burlington Inc.,2020-09-03,Bankruptcy,Other,Ontario,https://insolvencyinsider.ca/filing/rj-burlington-inc/
175,"RGN-National Business Centers and other debtors-in-possession (collectively, the “Chapter 11 Debtors”)",2020-08-31,CCAA,Food & Accommodation,NA,https://insolvencyinsider.ca/filing/rgn-national-business-centers-and-other-debtors-in-possession-collectively-the-chapter-11-debtors/
176,Swizzlesticks Enterprises Inc.,2020-08-25,Bankruptcy,Other,Alberta,https://insolvencyinsider.ca/filing/swizzlesticks-enterprises-inc/
177,RGN-National Business Centers,2020-08-24,CCAA,Food & Accommodation,NA,https://insolvencyinsider.ca/filing/rgn-national-business-centers/
178,SFP Canada Ltd.,2020-08-20,Bankruptcy,Retail,Ontario,https://insolvencyinsider.ca/filing/sfp-canada-ltd/
179,TA Hotel Management Limited Partnership,2020-08-17,Bankruptcy,Food & Accommodation,British Columbia,https://insolvencyinsider.ca/filing/ta-hotel-management-limited-partnership/
180,D’Amani Stucco Solutions Inc.,2020-08-13,NOI,Professional Services,Saskatchewan,https://insolvencyinsider.ca/filing/damani-stucco-solutions-inc/
181,Raptor Rig Ltd,2020-08-10,Receivership,Oil and Gas,Alberta,https://insolvencyinsider.ca/filing/raptor-rig-ltd/
182,Black Knight Inn,2020-08-07,Receivership,Food & Accommodation,Alberta,https://insolvencyinsider.ca/filing/black-knight-inn/
183,TLC Vision (Canada) Corp.,2020-08-07,NOI,Healthcare,Ontario,https://insolvencyinsider.ca/filing/tlc-vision-canada-corp/
184,Moores,2020-08-05,CCAA,Retail,NA,https://insolvencyinsider.ca/filing/moores/
185,"Chico’s FAS Canada, Co. (“Chico’s Canada”)",2020-07-31,Bankruptcy,Retail,Ontario,https://insolvencyinsider.ca/filing/chicos-fas-canada-co-chicos-canada/
186,Laura’s Shoppe Inc.,2020-07-31,CCAA,Retail,Quebec,https://insolvencyinsider.ca/filing/lauras-shoppe-inc/
187,Renaissance Printing Inc.,2020-07-30,Receivership,Printing,Ontario,https://insolvencyinsider.ca/filing/renaissance-printing-inc/
188,Kanwal Inc.,2020-07-30,NOI,Automotive,Quebec,https://insolvencyinsider.ca/filing/kanwal-inc/
189,S. Cohen,2020-07-30,NOI,Retail,Quebec,https://insolvencyinsider.ca/filing/s-cohen/
190,Tidal Health Solutions Ltd.,2020-07-30,NOI,Cannabis,Quebec,https://insolvencyinsider.ca/filing/tidal-health-solutions-ltd/
191,Stokes Inc.,2020-07-27,CCAA,Retail,Quebec,https://insolvencyinsider.ca/filing/stokes-inc/
192,ANN Canada Inc.,2020-07-23,NOI,Retail,Ontario,https://insolvencyinsider.ca/filing/ann-canada-inc/
193,Feronia Inc. (TSXV:FRN),2020-07-23,NOI,Agriculture,Ontario,https://insolvencyinsider.ca/filing/feronia-inc-tsxvfrn/
194,William Peak Co-Operative Homes,2020-07-22,Receivership,Other,Ontario,https://insolvencyinsider.ca/filing/william-peak-co-operative-homes/
195,Crowfoot Land & Livestock Corporation,2020-07-22,Receivership,Agriculture,Alberta,https://insolvencyinsider.ca/filing/crowfoot-land-livestock-corporation/
196,Clearbeach Resources,2020-07-22,NOI,Oil and Gas,Ontario,https://insolvencyinsider.ca/filing/clearbeach-resources/
197,Ostrander Hotels,2020-07-22,Receivership,Food & Accommodation,Alberta,https://insolvencyinsider.ca/filing/ostrander-hotels/
198,Bô Bébé,2020-07-22,NOI,Retail,Quebec,https://insolvencyinsider.ca/filing/bo-bebe/
199,Tristan,2020-07-21,NOI,Retail,Quebec,https://insolvencyinsider.ca/filing/tristan/
200,1001 Broadview Avenue Inc.,2020-07-21,Receivership,Other,Ontario,https://insolvencyinsider.ca/filing/1001-broadview-avenue-inc/
201,Wire IE (Canada) Inc.,2020-07-17,NOI,Technology,Ontario,https://insolvencyinsider.ca/filing/wire-ie-canada-inc/
202,Upwood Park & Salvador Del Mundo Co-operative Homes,2020-07-16,Interim Receivership,Other,Ontario,https://insolvencyinsider.ca/filing/upwood-park-salvador-del-mundo-co-operative-homes/
203,Fitz’s Mobile Welding Inc.,2020-07-15,Bankruptcy,Other,Newfoundland,https://insolvencyinsider.ca/filing/fitzs-mobile-welding-inc/
204,Mendocino,2020-07-14,NOI,Retail,Ontario,https://insolvencyinsider.ca/filing/mendocino/
205,Cabot Energy Inc.,2020-07-13,NOI,Oil and Gas,Alberta,https://insolvencyinsider.ca/filing/cabot-energy-inc/
206,DAVIDsTEA (NASDAQ:DTEA),2020-07-13,CCAA,Retail,Quebec,https://insolvencyinsider.ca/filing/davidstea-nasdaqdtea/
207,Nissan of Muskoka,2020-07-09,Receivership,Automotive,Ontario,https://insolvencyinsider.ca/filing/nissan-of-muskoka/
208,Back 40 Pictures,2020-07-09,Receivership,Entertainment,Ontario,https://insolvencyinsider.ca/filing/back-40-pictures/
209,Simard-Beaudry Construction Inc. (“SBC”) and Louisbourg Constructions Ltd. (“LC”),2020-07-08,CCAA,Construction,Quebec,https://insolvencyinsider.ca/filing/simard-beaudry-construction-inc-sbc-and-louisbourg-constructions-ltd-lc/
210,Frontline Broadband,2020-07-06,Receivership,Technology,Ontario,https://insolvencyinsider.ca/filing/frontline-broadband/
211,Lucky Brand Dungarees Canada,2020-07-06,Bankruptcy,Retail,Ontario,https://insolvencyinsider.ca/filing/lucky-brand-dungarees-canada/
212,Cirque du Soleil,2020-07-06,CCAA,Media,Quebec,https://insolvencyinsider.ca/filing/cirque-du-soleil/
213,Camilla Court Homes,2020-07-02,Receivership,Other,Ontario,https://insolvencyinsider.ca/filing/camilla-court-homes/
214,Prostar Manufacturing,2020-06-30,Bankruptcy,Manufacturing,Alberta,https://insolvencyinsider.ca/filing/prostar-manufacturing/
215,Scholar’s Choice,2020-06-30,NOI,Retail,Ontario,https://insolvencyinsider.ca/filing/scholars-choice/
216,Northern Silica Corporation,2020-06-30,CCAA,Mining,Alberta,https://insolvencyinsider.ca/filing/northern-silica-corporation/
217,Korite International,2020-06-30,CCAA,Manufacturing,Alberta,https://insolvencyinsider.ca/filing/korite-international/
218,"Hillspring Farms Ltd. (“Hillspring”), HSF Foods Ltd. (“HSF”), and Hillspring Warehouse & Logistics Inc.",2020-06-29,Receivership,Agriculture,New Brunswick,https://insolvencyinsider.ca/filing/hillspring-farms-ltd-hillspring-hsf-foods-ltd-hsf-and-hillspring-warehouse-logistics-inc/
219,Roberts Company Canada Limited,2020-06-29,CCAA,Manufacturing,Ontario,https://insolvencyinsider.ca/filing/roberts-company-canada-limited/
220,GNC Holdings (NYSE:GNC),2020-06-29,CCAA,Retail,NA,https://insolvencyinsider.ca/filing/gnc-holdings-nysegnc/
221,Newgen Restaurant Services Inc. (formerly operating as Tucker’s Marketplace and Smith Bros. Steakhouse Tavern),2020-06-26,Bankruptcy,Food & Accommodation,Ontario,https://insolvencyinsider.ca/filing/newgen-restaurant-services-inc-formerly-operating-as-tuckers-marketplace-and-smith-bros-steakhouse-tavern/
222,GFA World,2020-06-26,CCAA,Other,Ontario,https://insolvencyinsider.ca/filing/gfa-world/
223,Modasuite Inc.,2020-06-22,NOI,Retail,Quebec,https://insolvencyinsider.ca/filing/modasuite-inc/
224,Northern Pulp Nova Scotia Corporation,2020-06-19,CCAA,Agriculture,Nova Scotia,https://insolvencyinsider.ca/filing/northern-pulp-nova-scotia-corporation/
225,Skillsoft Canada,2020-06-19,CCAA,Education,New Brunswick,https://insolvencyinsider.ca/filing/skillsoft-canada/
226,Samboro Luggages,2020-06-18,Receivership,Distribution,Ontario,https://insolvencyinsider.ca/filing/samboro-luggages/
227,AllSaints USA,2020-06-17,CCAA,Retail,NA,https://insolvencyinsider.ca/filing/allsaints-usa/
228,Vert Infrastructure Ltd. (CSE:VVV),2020-06-16,Receivership,Financial Services,British Columbia,https://insolvencyinsider.ca/filing/vert-infrastructure-ltd-csevvv/
229,Leigh Commercial Builders,2020-06-15,Receivership,Construction,Alberta,https://insolvencyinsider.ca/filing/leigh-commercial-builders/
230,Cequence Energy Ltd. (TSX:CQE),2020-06-11,CCAA,Oil and Gas,Alberta,https://insolvencyinsider.ca/filing/cequence-energy-ltd-tsxcqe/
231,"Stableview Asset Management Inc., Stableview Yield & Growth Fund, Stableview Progressive Growth Fund, Stableview Insight Fund LP and Stableview Insight Fund GP Inc. (collectively, the “Stableview Group”)",2020-06-09,Receivership,Financial Services,Ontario,https://insolvencyinsider.ca/filing/stableview-asset-management-inc-stableview-yield-growth-fund-stableview-progressive-growth-fund-stableview-insight-fund-lp-and-stableview-insight-fund-gp-inc-collectively-the-stablev/
232,Coalision Inc.,2020-06-08,NOI,Manufacturing,Quebec,https://insolvencyinsider.ca/filing/coalision-inc/
233,C. & C. Wood Products Ltd,2020-06-05,Receivership,Manufacturing,British Columbia,https://insolvencyinsider.ca/filing/c-c-wood-products-ltd/
234,"Beleave Inc. (CSE:BE, OTCQX:BLEVF)",2020-06-05,CCAA,Cannabis,Ontario,https://insolvencyinsider.ca/filing/beleave-inc-csebe-otcqxblevf/
235,Peraso Technologies Inc.,2020-06-03,CCAA,Technology,Ontario,https://insolvencyinsider.ca/filing/peraso-technologies-inc/
236,"Comark Holdings Inc., Bootlegger Clothing Inc., cleo fashions Inc. and Ricki’s Fashions Inc. (collectively, the “Comark Group”)",2020-06-03,CCAA,Retail,Ontario,https://insolvencyinsider.ca/filing/comark-holdings-inc-bootlegger-clothing-inc-cleo-fashions-inc-and-rickis-fashions-inc-collectively-the-comark-group/
237,Sail Plein Air Inc./Sail Outdoors Inc.,2020-06-02,NOI,Retail,Quebec,https://insolvencyinsider.ca/filing/sail-plein-air-inc-sail-outdoors-inc/
238,New Tecumseth Land Corporation,2020-06-01,Receivership,Other,Ontario,https://insolvencyinsider.ca/filing/new-tecumseth-land-corporation/
239,Bow River Energy Ltd.,2020-06-01,CCAA,Oil and Gas,Alberta,https://insolvencyinsider.ca/filing/bow-river-energy-ltd/
240,Metric Modular,2020-06-01,NOI,Construction,British Columbia,https://insolvencyinsider.ca/filing/metric-modular/
241,"Port Capital Development (EV) Inc. and Evergreen House Development Limited Partnership, subsidiaries of the Port Capital Group",2020-05-29,CCAA,Real Estate,British Columbia,https://insolvencyinsider.ca/filing/port-capital-development-ev-inc-and-evergreen-house-development-limited-partnership-subsidiaries-of-the-port-capital-group/
242,Q’Max Solutions Inc.,2020-05-28,Receivership,Oil and Gas,Alberta,https://insolvencyinsider.ca/filing/qmax-solutions-inc/
243,Eagle Q Partners Inc.,2020-05-26,Receivership,Other,British Columbia,https://insolvencyinsider.ca/filing/eagle-q-partners-inc/
244,Destiny Bioscience Global Corp.,2020-05-22,Receivership,Cannabis,Alberta,https://insolvencyinsider.ca/filing/destiny-bioscience-global-corp/
245,First Hamilton Holdings Inc.,2020-05-21,Liquidation,Financial Services,Ontario,https://insolvencyinsider.ca/filing/first-hamilton-holdings-inc/
246,"Green Growth Brands Inc., GGB Canada Inc., Green Growth Brands Realty Ltd. and Xanthic Biopharma Limited (collectively, the “GGB Group”) (GGB:CNX),",2020-05-20,CCAA,Cannabis,Ontario,https://insolvencyinsider.ca/filing/green-growth-brands-inc-ggb-canada-inc-green-growth-brands-realty-ltd-and-xanthic-biopharma-limited-collectively-the-ggb-group-ggbcnx/
247,Reitmans (Canada) Limited (TSX:RET.A),2020-05-19,CCAA,Retail,Quebec,https://insolvencyinsider.ca/filing/reitmans-canada-limited-tsxret-a/
248,HyperBlock (CSE:HYPR),2020-05-19,Bankruptcy,Financial Services,Ontario,https://insolvencyinsider.ca/filing/hyperblock-csehypr/
249,Tribalscale Inc.,2020-05-19,NOI,Technology,Ontario,https://insolvencyinsider.ca/filing/tribalscale-inc/
250,Carriage Hills Vacation Owners Association (the “Association”),2020-05-15,Special Administration,Other,Ontario,https://insolvencyinsider.ca/filing/carriage-hills-vacation-owners-association-the-association/
251,ENTREC,2020-05-15,CCAA,Transportation,Alberta,https://insolvencyinsider.ca/filing/entrec/
252,PACE Securities Corp.,2020-05-14,Liquidation,Financial Services,Ontario,https://insolvencyinsider.ca/filing/pace-securities-corp/
253,Redrock Camps Inc.,2020-05-13,CCAA,Food & Accommodation,Alberta,https://insolvencyinsider.ca/filing/redrock-camps-inc/
254,Mill Street and Co. Inc.,2020-05-12,Receivership,Financial Services,Ontario,https://insolvencyinsider.ca/filing/mill-street-and-co-inc/
255,Flighthub Group Inc.,2020-05-08,CCAA,Other,Quebec,https://insolvencyinsider.ca/filing/flighthub-group-inc/
256,Aldo Group,2020-05-07,CCAA,Retail,Quebec,https://insolvencyinsider.ca/filing/aldo-group/
257,Encore Vineyards Ltd.,2020-05-07,Proposal,Food & Accommodation,British Columbia,https://insolvencyinsider.ca/filing/encore-vineyards-ltd/
258,Avenir Sports Entertainment Ltd.,2020-05-07,Receivership,Entertainment,Alberta,https://insolvencyinsider.ca/filing/avenir-sports-entertainment-ltd/
259,Muskoka Grown,2020-05-05,NOI,Cannabis,Ontario,https://insolvencyinsider.ca/filing/muskoka-grown/
260,Atlantica Content Studios Inc.,2020-05-04,NOI,Professional Services,Ontario,https://insolvencyinsider.ca/filing/atlantica-content-studios-inc/
261,Diam Danforth Property Inc.,2020-05-04,Receivership,Real Estate,Ontario,https://insolvencyinsider.ca/filing/diam-danforth-property-inc/
262,Cranbrook Glen Enterprises Ltd.,2020-05-01,NOI,Retail,Ontario,https://insolvencyinsider.ca/filing/cranbrook-glen-enterprises-ltd/
263,JMB Crushing Systems Inc.,2020-05-01,CCAA,Manufacturing,Alberta,https://insolvencyinsider.ca/filing/jmb-crushing-systems-inc/
264,Foodora Inc.,2020-04-27,NOI,Food & Accommodation,British Columbia,https://insolvencyinsider.ca/filing/foodora-inc/
265,Eveley International Corporation,2020-04-23,Interim Receivership,Manufacturing,Ontario,https://insolvencyinsider.ca/filing/eveley-international-corporation/
266,Dominion Diamond Mines,2020-04-22,CCAA,Mining,Alberta,https://insolvencyinsider.ca/filing/dominion-diamond-mines/
267,Neucel Specialty Cellulose Ltd.,2020-04-22,Receivership,Agriculture,British Columbia,https://insolvencyinsider.ca/filing/neucel-specialty-cellulose-ltd/
268,ValidateIT Technologies,2020-04-22,Bankruptcy,Technology,Ontario,https://insolvencyinsider.ca/filing/validateit-technologies/
269,One Ocean Expeditions Inc.,2020-04-17,NOI,Transportation,British Columbia,https://insolvencyinsider.ca/filing/one-ocean-expeditions-inc/
270,JMX Group,2020-04-17,NOI,Construction,Ontario,https://insolvencyinsider.ca/filing/jmx-group/
271,Marché Restaurants,2020-04-16,NOI,Food & Accommodation,Ontario,https://insolvencyinsider.ca/filing/marche-restaurants/
272,Composites Innovation Centre Manitoba Inc.,2020-04-14,Bankruptcy,Professional Services,Manitoba,https://insolvencyinsider.ca/filing/composites-innovation-centre-manitoba-inc/
273,Delphi Energy (TSX:DEE),2020-04-14,CCAA,Oil and Gas,Alberta,https://insolvencyinsider.ca/filing/delphi-energy-tsxdee/
274,BTB Property Holdings and certain other related companies,2020-04-09,Receivership,Food & Accommodation,Alberta,https://insolvencyinsider.ca/filing/btb-property-holdings-and-certain-other-related-companies/
275,Rosebud Creek Financial and 957855 Alberta,2020-04-06,NOI,Professional Services,Alberta,https://insolvencyinsider.ca/filing/rosebud-creek-financial-and-957855-alberta/
276,Splend,2020-04-03,Bankruptcy,Professional Services,Ontario,https://insolvencyinsider.ca/filing/splend/
277,SNFW Fitness B.C. Ltd.,2020-04-03,NOI,Other,British Columbia,https://insolvencyinsider.ca/filing/snfw-fitness-b-c-ltd/
278,McArthur Furniture (“McArthur”),2020-04-02,Receivership,Retail,Alberta,https://insolvencyinsider.ca/filing/mcarthur-furniture-mcarthur/
279,True Leaf Brands,2020-04-02,NOI,Manufacturing,British Columbia,https://insolvencyinsider.ca/filing/true-leaf-brands/
280,James E. Wagner Cultivation Corporation (TSX:JWCA),2020-04-01,CCAA,Cannabis,Ontario,https://insolvencyinsider.ca/filing/james-e-wagner-cultivation-corporation-tsxjwca/
281,CannTrust Holdings (TSX:TRST),2020-03-31,CCAA,Cannabis,Ontario,https://insolvencyinsider.ca/filing/canntrust-holdings-tsxtrst/
282,Compensation Fund for Customers of Travel Agents (“CFCTA”),2020-03-30,Other,Other,Quebec,https://insolvencyinsider.ca/filing/compensation-fund-for-customers-of-travel-agents-cfcta/
283,EncoreFX,2020-03-30,Bankruptcy,Financial Services,British Columbia,https://insolvencyinsider.ca/filing/encorefx/
284,"33 Yorkville Residences (“33 Yorkville”), The Clover on Yonge (“Clover”), and 480 Yonge Street (“Halo”)",2020-03-27,Receivership,Real Estate,Ontario,https://insolvencyinsider.ca/filing/33-yorkville-residences-33-yorkville-the-clover-on-yonge-clover-and-480-yonge-street-halo/
285,1348441 Ontario Inc. (o/a Solutions Your Organized Living Store),2020-03-26,NOI,Retail,Ontario,https://insolvencyinsider.ca/filing/1348441-ontario-inc-o-a-solutions-your-organized-living-store/
286,Penady (Barrie) Ltd (“PBL”),2020-03-25,Receivership,Real Estate,Ontario,https://insolvencyinsider.ca/filing/penady-barrie-ltd-pbl/
287,Accede Energy Services,2020-03-23,Receivership,Professional Services,Alberta,https://insolvencyinsider.ca/filing/accede-energy-services/
288,Pure Global Cannabis (TSXV:PURE),2020-03-19,CCAA,Cannabis,Ontario,https://insolvencyinsider.ca/filing/pure-global-cannabis-tsxvpure/
289,neXia Health Technologies (TSXV:NGH-H-X),2020-03-18,NOI,Technology,Ontario,https://insolvencyinsider.ca/filing/nexia-health-technologies-tsxvngh-h-x/
290,Bolt Offsite,2020-03-12,Receivership,Construction,Alberta,https://insolvencyinsider.ca/filing/bolt-offsite/
291,Kahunaverse Sports Group,2020-03-11,NOI,Retail,British Columbia,https://insolvencyinsider.ca/filing/kahunaverse-sports-group/
292,Green Relief,2020-03-11,NOI,Cannabis,Ontario,https://insolvencyinsider.ca/filing/green-relief/
293,Spectra Premium Industries,2020-03-10,CCAA,Manufacturing,Quebec,https://insolvencyinsider.ca/filing/spectra-premium-industries/
294,Nygard Group,2020-03-09,NOI,Manufacturing,Manitoba,https://insolvencyinsider.ca/filing/nygard-group/
295,Nygard Group,2020-03-09,Receivership,Manufacturing,Manitoba,https://insolvencyinsider.ca/filing/nygard-group-2/
296,FHC Enterprises,2020-03-06,NOI,Retail,British Columbia,https://insolvencyinsider.ca/filing/fhc-enterprises/
297,Louis Garneau Sports,2020-03-03,NOI,Manufacturing,Quebec,https://insolvencyinsider.ca/filing/louis-garneau-sports/
298,Direct Oil & Gas Inc.,2020-02-28,Bankruptcy,Oil and Gas,Alberta,https://insolvencyinsider.ca/filing/direct-oil-gas-inc/
299,HealthChain,2020-02-28,NOI,Technology,Ontario,https://insolvencyinsider.ca/filing/healthchain/
300,Kew Media Group (TSX:KEW),2020-02-28,Receivership,Media,Ontario,https://insolvencyinsider.ca/filing/kew-media-group-tsxkew/
301,Senvion GmbH,2020-02-26,CCAA,Manufacturing,Quebec,https://insolvencyinsider.ca/filing/senvion-gmbh/
302,2607380 Ontario,2020-02-26,CCAA,Real Estate,Ontario,https://insolvencyinsider.ca/filing/2607380-ontario/
303,Copperline Excavating,2020-02-21,Receivership,Professional Services,Alberta,https://insolvencyinsider.ca/filing/copperline-excavating/
304,Le Cordée,2020-02-21,NOI,Retail,Quebec,https://insolvencyinsider.ca/filing/le-cordee/
305,AVG (OEAM),2020-02-21,Receivership,Automotive,Ontario,https://insolvencyinsider.ca/filing/avg-oeam/
306,Stokes,2020-02-18,NOI,Retail,Quebec,https://insolvencyinsider.ca/filing/stokes/
307,Pier 1 Imports,2020-02-18,CCAA,Retail,NA,https://insolvencyinsider.ca/filing/pier-1-imports/
308,Bridge Attainable Housing Society,2020-02-14,Receivership,Other,Alberta,https://insolvencyinsider.ca/filing/bridge-attainable-housing-society/
309,Eureka 93 (CSE:ERKA),2020-02-14,NOI,Cannabis,Ontario,https://insolvencyinsider.ca/filing/eureka-93-cseerka/
310,Evergreen Consumer Brands,2020-02-13,Receivership,Distribution / Manufacturing,Ontario,https://insolvencyinsider.ca/filing/evergreen-consumer-brands/
311,Invictus MD Strategies (TSX-V: GENE),2020-02-13,CCAA,Cannabis,British Columbia,https://insolvencyinsider.ca/filing/invictus-md-strategies-tsx-v-gene/
312,9265988 Canada Corp.,2020-02-12,Receivership,Other,Ontario,https://insolvencyinsider.ca/filing/9265988-canada-corp/
313,Fernwood Developments,2020-02-12,Receivership,Real Estate,Ontario,https://insolvencyinsider.ca/filing/fernwood-developments/
314,Ontario Graphite,2020-02-12,CCAA,Mining,Ontario,https://insolvencyinsider.ca/filing/ontario-graphite/
315,Dinosaur Trail Golf & Country Club,2020-02-11,Receivership,Entertainment,Alberta,https://insolvencyinsider.ca/filing/dinosaur-trail-golf-country-club/
316,Tri-Ag Implements,2020-02-10,NOI,Other,Alberta,https://insolvencyinsider.ca/filing/tri-ag-implements/
317,1034179 B.C. Ltd.,2020-02-04,CCAA,Real Estate,British Columbia,https://insolvencyinsider.ca/filing/1034179-b-c-ltd/
318,Grabhers Last Stand Bison Ranch,2020-02-03,Receivership,Agriculture,British Columbia,https://insolvencyinsider.ca/filing/grabhers-last-stand-bison-ranch/
319,Rebuts Solides Canadiens,2020-02-03,CCAA,Cleantech,Quebec,https://insolvencyinsider.ca/filing/rebuts-solides-canadiens/
320,Dean Myers Chevrolet,2020-02-02,Receivership,Automotive,Ontario,https://insolvencyinsider.ca/filing/dean-myers-chevrolet/
321,Air Georgian,2020-01-31,NOI,Transportation,Ontario,https://insolvencyinsider.ca/filing/air-georgian/
322,Strategic Oil & Gas (TSX-V: SOG),2020-01-28,Receivership,Oil and Gas,Alberta,https://insolvencyinsider.ca/filing/strategic-oil-gas-tsx-v-sog-2/
323,AAA Windows and AAA Holdings,2020-01-27,Receivership,Manufacturing / Real Estate,Alberta,https://insolvencyinsider.ca/filing/aaa-windows-and-aaa-holdings/
324,Celadon Group,2020-01-23,Bankruptcy,Transportation,NA,https://insolvencyinsider.ca/filing/celadon-group/
325,SFP Canada,2020-01-23,CCAA,Retail,Ontario,https://insolvencyinsider.ca/filing/sfp-canada/
326,Medlantis,2020-01-22,Bankruptcy,Education,Ontario,https://insolvencyinsider.ca/filing/medlantis/
327,Thomas Sabo,2020-01-21,Bankruptcy,Retail,Ontario,https://insolvencyinsider.ca/filing/thomas-sabo/
328,Freemark Apparel Brands,2020-01-21,NOI,Retail,Quebec,https://insolvencyinsider.ca/filing/freemark-apparel-brands/
329,Campus Vibe,2020-01-17,Bankruptcy,Professional Services,Ontario,https://insolvencyinsider.ca/filing/campus-vibe/
330,Novelion Therapeutics (NASDAQ:NVLN),2020-01-16,Liquidation,Biotech,British Columbia,https://insolvencyinsider.ca/filing/novelion-therapeutics-nasdaqnvln/
331,Quest University Canada,2020-01-16,CCAA,Education,British Columbia,https://insolvencyinsider.ca/filing/quest-university-canada/
332,GWD Christmas Tree Farms,2020-01-15,Bankruptcy,Agriculture,New Brunswick,https://insolvencyinsider.ca/filing/gwd-christmas-tree-farms/
333,PrimeCARE Health Clinics,2020-01-14,Receivership,Healthcare,Alberta,https://insolvencyinsider.ca/filing/primecare-health-clinics/
334,CLM Distribution Pool & Spa Products and Lectranator Systems,2020-01-10,Bankruptcy,Distribution,Alberta,https://insolvencyinsider.ca/filing/clm-distribution-pool-spa-products-and-lectranator-systems/
335,"Sle-Co Plastics,",2020-01-09,Receivership,Automotive,Ontario,https://insolvencyinsider.ca/filing/sle-co-plastics/
336,Gestion Knighstbridge,2020-01-09,Bankruptcy,Real Estate,Quebec,https://insolvencyinsider.ca/filing/gestion-knighstbridge/
337,Morris Group of Companies,2020-01-08,CCAA,Manufacturing,Saskatchewan,https://insolvencyinsider.ca/filing/morris-group-of-companies/
338,Gozco,2020-01-07,Bankruptcy,Financial Services,Alberta,https://insolvencyinsider.ca/filing/gozco/
339,Sudbury Regional Hearing Services,2020-01-07,Receivership,Healthcare,Ontario,https://insolvencyinsider.ca/filing/sudbury-regional-hearing-services/
340,Tough Mudder Events,2019-12-30,NOI,Other,NA,https://insolvencyinsider.ca/filing/tough-mudder-events/
341,Dion Global Solutions (Canada),2019-12-30,Bankruptcy,Financial Services,Ontario,https://insolvencyinsider.ca/filing/dion-global-solutions-canada/
342,Norcon,2019-12-25,Bankruptcy,Transportation,Newfoundland,https://insolvencyinsider.ca/filing/norcon/
343,Nemaska Lithium (TSX: NMX),2019-12-23,CCAA,Mining,Quebec,https://insolvencyinsider.ca/filing/nemaska-lithium-tsx-nmx/
344,Lydian International (TSX: LYD),2019-12-23,CCAA,Mining,Ontario,https://insolvencyinsider.ca/filing/lydian-international-tsx-lyd/
345,Waves E-Gaming,2019-12-20,Receivership,Entertainment,Ontario,https://insolvencyinsider.ca/filing/waves-e-gaming/
346,DGSTS Services Group,2019-12-20,Receivership,Professional Services,British Columbia,https://insolvencyinsider.ca/filing/dgsts-services-group/
347,F1rst Auto Rentals +,2019-12-19,Receivership,Transportation,Saskatchewan,https://insolvencyinsider.ca/filing/f1rst-auto-rentals/
348,8318085 Canada,2019-12-17,NOI,Distribution,Quebec,https://insolvencyinsider.ca/filing/8318085-canada/
349,CMS Toys/Halloween Alley,2019-12-16,NOI,Distribution / Retail,Alberta,https://insolvencyinsider.ca/filing/cms-toys-halloween-alley/
350,2145744 Ontario Limited,2019-12-16,Receivership,Other,Ontario,https://insolvencyinsider.ca/filing/2145744-ontario-limited/
351,Fortress Global Enterprises (TSX: FGE),2019-12-16,CCAA,Cleantech,Quebec,https://insolvencyinsider.ca/filing/fortress-global-enterprises-tsx-fge/
